chart_path,direction,direction_confidence,direction_source,feature_count,final_diagnostic_outcome,html_path,note,present_pre_entry_features,sample_id
charts/sample_001.svg,LONG,2,PRE_DECISION_SWEEP_INFERENCE,15,FAST_FAILURE,examples/sample_001.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|high_volatility_context|liquidity_htf_recent_level|m1_close_high_ge_0_70|m1_large_body_ge_0_60|m5_upper_wick_ge_0_50|pre_decision_m1_downward_sweep|pre_decision_sweep_inferred|round_band_gt_20p|session_new_york|wick_body_m5_wick_dominant,sample_001
charts/sample_002.svg,LONG,3,EXISTING_METADATA,14,FAST_FAILURE,examples/sample_002.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|high_volatility_context|m15_close_high_ge_0_70|m1_close_low_le_0_30|m1_upper_wick_ge_0_50|numeric_level_confluence_20p|premium_session_open|round_band_10_20p|session_new_york|wick_body_m1_wick_dominant,sample_002
charts/sample_003.svg,SHORT,3,EXISTING_METADATA,13,FAST_FAILURE,examples/sample_003.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|m15_close_low_le_0_30|m5_close_low_le_0_30|m5_upper_wick_ge_0_50|mid_volatility_context|numeric_level_confluence_20p|round_band_10_20p|session_new_york|wick_body_m5_wick_dominant,sample_003
charts/sample_004.svg,SHORT,3,EXISTING_METADATA,13,FAST_FAILURE,examples/sample_004.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|expansion_before_decision_proxy|fvg_ifvg_available|fvg_ifvg_near_20p|m15_close_high_ge_0_70|m15_large_body_ge_0_50|m5_close_high_ge_0_70|m5_large_body_ge_0_60|mid_volatility_context|round_band_gt_20p|session_london,sample_004
charts/sample_005.svg,LONG,3,EXISTING_METADATA,10,FAST_FAILURE,examples/sample_005.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|m1_close_high_ge_0_70|m5_close_low_le_0_30|m5_large_body_ge_0_60|mid_volatility_context|round_band_gt_20p,sample_005
charts/sample_006.svg,LONG,2,PRE_DECISION_SWEEP_INFERENCE,13,GOOD_FAST_REACTION,examples/sample_006.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|liquidity_htf_recent_level|m15_close_high_ge_0_70|m15_large_body_ge_0_50|m1_close_high_ge_0_70|m5_close_high_ge_0_70|numeric_level_confluence_20p|pre_decision_m1_downward_sweep|pre_decision_sweep_inferred|round_band_10_20p,sample_006
charts/sample_007.svg,SHORT,2,PRE_DECISION_SWEEP_INFERENCE,12,GOOD_FAST_REACTION,examples/sample_007.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|m15_close_low_le_0_30|m15_large_body_ge_0_50|m1_close_high_ge_0_70|m1_large_body_ge_0_60|mid_volatility_context|pre_decision_m1_upward_sweep|pre_decision_sweep_inferred|round_band_gt_20p,sample_007
charts/sample_009.svg,LONG,2,PRE_DECISION_SWEEP_INFERENCE,14,FAST_FAILURE,examples/sample_009.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|m15_large_body_ge_0_50|m5_lower_wick_ge_0_50|mid_volatility_context|numeric_level_confluence_20p|pre_decision_m1_downward_sweep|pre_decision_sweep_inferred|round_band_10_20p|session_london|wick_body_m5_wick_dominant,sample_009
charts/sample_010.svg,LONG,3,EXISTING_METADATA,11,FAST_FAILURE,examples/sample_010.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|m1_close_low_le_0_30|m1_large_body_ge_0_60|m5_close_low_le_0_30|m5_large_body_ge_0_60|mid_volatility_context|round_band_gt_20p,sample_010
charts/sample_011.svg,SHORT,3,EXISTING_METADATA,11,FAST_FAILURE,examples/sample_011.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|m1_close_high_ge_0_70|m1_large_body_ge_0_60|mid_volatility_context|numeric_level_confluence_20p|round_band_10_20p|session_new_york,sample_011
charts/sample_012.svg,SHORT,3,EXISTING_METADATA,12,GOOD_FAST_REACTION,examples/sample_012.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|liquidity_htf_recent_level|m15_close_low_le_0_30|m1_close_high_ge_0_70|m1_large_body_ge_0_60|m5_close_low_le_0_30|m5_upper_wick_ge_0_50|round_band_gt_20p|wick_body_m5_wick_dominant,sample_012
charts/sample_013.svg,LONG,3,EXISTING_METADATA,12,FAST_FAILURE,examples/sample_013.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|m1_close_high_ge_0_70|m1_lower_wick_ge_0_50|m5_upper_wick_ge_0_50|mid_volatility_context|numeric_level_confluence_20p|round_band_0_10p|wick_body_m1_wick_dominant|wick_body_m5_wick_dominant,sample_013
charts/sample_014.svg,SHORT,2,PRE_DECISION_SWEEP_INFERENCE,13,FAST_FAILURE,examples/sample_014.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|m15_large_body_ge_0_50|m1_close_high_ge_0_70|m1_large_body_ge_0_60|mid_volatility_context|numeric_level_confluence_20p|pre_decision_m1_upward_sweep|pre_decision_sweep_inferred|round_band_10_20p,sample_014
charts/sample_015.svg,SHORT,2,PRE_DECISION_SWEEP_INFERENCE,15,GOOD_FAST_REACTION,examples/sample_015.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|m15_close_low_le_0_30|m15_large_body_ge_0_50|m1_close_low_le_0_30|m5_close_low_le_0_30|m5_large_body_ge_0_60|mid_volatility_context|numeric_level_confluence_20p|pre_decision_m1_upward_sweep|pre_decision_sweep_inferred|round_band_10_20p,sample_015
charts/sample_016.svg,LONG,2,PRE_DECISION_SWEEP_INFERENCE,16,FAST_FAILURE,examples/sample_016.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|m1_close_low_le_0_30|m1_upper_wick_ge_0_50|m5_close_low_le_0_30|m5_upper_wick_ge_0_50|mid_volatility_context|numeric_level_confluence_20p|pre_decision_m1_downward_sweep|pre_decision_sweep_inferred|round_band_10_20p|wick_body_m1_wick_dominant|wick_body_m5_wick_dominant,sample_016
charts/sample_018.svg,LONG,3,EXISTING_METADATA,8,FAST_FAILURE,examples/sample_018.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|m5_close_low_le_0_30|m5_large_body_ge_0_60|round_band_gt_20p,sample_018
charts/sample_019.svg,SHORT,3,EXISTING_METADATA,12,FAST_FAILURE,examples/sample_019.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,compression_overlap_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|high_volatility_context|m1_close_low_le_0_30|m1_upper_wick_ge_0_50|m5_close_high_ge_0_70|m5_large_body_ge_0_60|round_band_gt_20p|session_new_york|wick_body_m1_wick_dominant,sample_019
charts/sample_020.svg,SHORT,3,EXISTING_METADATA,8,FAST_FAILURE,examples/sample_020.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|m1_close_low_le_0_30|m1_upper_wick_ge_0_50|round_band_gt_20p|wick_body_m1_wick_dominant,sample_020
charts/sample_021.svg,LONG,3,EXISTING_METADATA,14,GOOD_FAST_REACTION,examples/sample_021.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|expansion_before_decision_proxy|fvg_ifvg_available|liquidity_htf_recent_level|m15_close_high_ge_0_70|m15_large_body_ge_0_50|m1_close_high_ge_0_70|m1_large_body_ge_0_60|m5_close_high_ge_0_70|m5_large_body_ge_0_60|mid_volatility_context|round_band_gt_20p,sample_021
charts/sample_022.svg,LONG,2,PRE_DECISION_SWEEP_INFERENCE,15,FAST_FAILURE,examples/sample_022.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|m15_close_high_ge_0_70|m15_large_body_ge_0_50|m1_close_low_le_0_30|m1_upper_wick_ge_0_50|m5_close_low_le_0_30|mid_volatility_context|pre_decision_m1_downward_sweep|pre_decision_sweep_inferred|round_band_gt_20p|wick_body_m1_wick_dominant,sample_022
charts/sample_023.svg,SHORT,2,PRE_DECISION_SWEEP_INFERENCE,15,FAST_FAILURE,examples/sample_023.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|m15_large_body_ge_0_50|m1_lower_wick_ge_0_50|m5_close_high_ge_0_70|m5_large_body_ge_0_60|mid_volatility_context|numeric_level_confluence_20p|pre_decision_m1_upward_sweep|pre_decision_sweep_inferred|round_band_10_20p|wick_body_m1_wick_dominant,sample_023
charts/sample_024.svg,LONG,2,PRE_DECISION_SWEEP_INFERENCE,17,GOOD_FAST_REACTION,examples/sample_024.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|compression_overlap_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|m15_close_high_ge_0_70|m15_large_body_ge_0_50|m1_close_high_ge_0_70|m1_lower_wick_ge_0_50|m5_close_high_ge_0_70|mid_volatility_context|numeric_level_confluence_20p|pre_decision_m1_downward_sweep|pre_decision_sweep_inferred|round_band_0_10p|wick_body_m1_wick_dominant,sample_024
charts/sample_025.svg,SHORT,2,PRE_DECISION_SWEEP_INFERENCE,17,FAST_FAILURE,examples/sample_025.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|m15_close_high_ge_0_70|m15_large_body_ge_0_50|m1_close_high_ge_0_70|m1_large_body_ge_0_60|m5_close_high_ge_0_70|m5_large_body_ge_0_60|mid_volatility_context|pre_decision_m1_upward_sweep|pre_decision_sweep_inferred|premium_session_open|round_band_gt_20p|session_new_york,sample_025
charts/sample_026.svg,LONG,3,EXISTING_METADATA,9,FAST_FAILURE,examples/sample_026.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|compression_overlap_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|m5_close_low_le_0_30|m5_large_body_ge_0_60|round_band_gt_20p,sample_026
charts/sample_027.svg,SHORT,3,EXISTING_METADATA,10,FAST_FAILURE,examples/sample_027.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|m15_close_low_le_0_30|m1_close_low_le_0_30|m5_close_high_ge_0_70|round_band_gt_20p|session_london,sample_027
charts/sample_028.svg,SHORT,3,EXISTING_METADATA,13,FAST_FAILURE,examples/sample_028.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|high_volatility_context|m1_close_high_ge_0_70|m1_large_body_ge_0_60|m5_close_high_ge_0_70|m5_large_body_ge_0_60|numeric_level_confluence_20p|round_band_10_20p|session_new_york,sample_028
charts/sample_029.svg,LONG,3,EXISTING_METADATA,10,GOOD_FAST_REACTION,examples/sample_029.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|m15_close_high_ge_0_70|m1_close_low_le_0_30|m1_large_body_ge_0_60|m5_close_high_ge_0_70|m5_lower_wick_ge_0_50|round_band_gt_20p|wick_body_m5_wick_dominant,sample_029
charts/sample_031.svg,LONG,2,PRE_DECISION_SWEEP_INFERENCE,17,FAST_FAILURE,examples/sample_031.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|compression_overlap_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|m15_close_low_le_0_30|m15_large_body_ge_0_50|m1_close_high_ge_0_70|m1_large_body_ge_0_60|m5_close_low_le_0_30|m5_large_body_ge_0_60|mid_volatility_context|numeric_level_confluence_20p|pre_decision_m1_downward_sweep|pre_decision_sweep_inferred|round_band_10_20p,sample_031
charts/sample_032.svg,SHORT,2,PRE_DECISION_SWEEP_INFERENCE,13,FAST_FAILURE,examples/sample_032.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|m1_close_high_ge_0_70|m1_large_body_ge_0_60|m5_close_low_le_0_30|m5_upper_wick_ge_0_50|numeric_level_confluence_20p|pre_decision_sweep_inferred|round_band_0_10p|wick_body_m5_wick_dominant,sample_032
charts/sample_033.svg,LONG,3,EXISTING_METADATA,10,FAST_FAILURE,examples/sample_033.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|m15_close_high_ge_0_70|m1_close_low_le_0_30|m5_close_low_le_0_30|numeric_level_confluence_20p|round_band_0_10p,sample_033
charts/sample_034.svg,LONG,3,EXISTING_METADATA,13,FAST_FAILURE,examples/sample_034.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|liquidity_htf_recent_level|m15_close_high_ge_0_70|m1_lower_wick_ge_0_50|m5_close_high_ge_0_70|m5_lower_wick_ge_0_50|premium_session_open|round_band_gt_20p|wick_body_m1_wick_dominant|wick_body_m5_wick_dominant,sample_034
charts/sample_035.svg,SHORT,3,EXISTING_METADATA,17,FAST_FAILURE,examples/sample_035.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|m15_close_low_le_0_30|m1_close_high_ge_0_70|m1_lower_wick_ge_0_50|m5_close_low_le_0_30|m5_upper_wick_ge_0_50|mid_volatility_context|numeric_level_confluence_20p|premium_session_open|round_band_10_20p|session_london|wick_body_m1_wick_dominant|wick_body_m5_wick_dominant,sample_035
charts/sample_036.svg,SHORT,3,EXISTING_METADATA,14,GOOD_FAST_REACTION,examples/sample_036.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|liquidity_htf_recent_level|m15_close_low_le_0_30|m1_close_high_ge_0_70|m1_large_body_ge_0_60|m5_upper_wick_ge_0_50|mid_volatility_context|numeric_level_confluence_20p|round_band_0_10p|session_london|wick_body_m5_wick_dominant,sample_036
charts/sample_037.svg,LONG,3,EXISTING_METADATA,12,GOOD_FAST_REACTION,examples/sample_037.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|liquidity_htf_recent_level|m15_close_high_ge_0_70|m1_close_low_le_0_30|m1_large_body_ge_0_60|m5_close_high_ge_0_70|mid_volatility_context|round_band_gt_20p|session_new_york,sample_037
charts/sample_038.svg,SHORT,2,PRE_DECISION_SWEEP_INFERENCE,16,FAST_FAILURE,examples/sample_038.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|compression_overlap_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|m1_close_low_le_0_30|m1_upper_wick_ge_0_50|m5_close_high_ge_0_70|m5_lower_wick_ge_0_50|mid_volatility_context|pre_decision_m1_upward_sweep|pre_decision_sweep_inferred|round_band_gt_20p|wick_body_m1_wick_dominant|wick_body_m5_wick_dominant,sample_038
charts/sample_039.svg,SHORT,2,PRE_DECISION_SWEEP_INFERENCE,18,FAST_FAILURE,examples/sample_039.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|liquidity_htf_recent_level|m15_close_low_le_0_30|m15_large_body_ge_0_50|m1_upper_wick_ge_0_50|m5_close_low_le_0_30|m5_upper_wick_ge_0_50|mid_volatility_context|numeric_level_confluence_20p|pre_decision_m1_upward_sweep|pre_decision_sweep_inferred|round_band_0_10p|wick_body_m1_wick_dominant|wick_body_m5_wick_dominant,sample_039
charts/sample_040.svg,SHORT,2,PRE_DECISION_SWEEP_INFERENCE,14,GOOD_FAST_REACTION,examples/sample_040.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|liquidity_htf_recent_level|m1_close_high_ge_0_70|m1_large_body_ge_0_60|m5_close_low_le_0_30|m5_upper_wick_ge_0_50|pre_decision_m1_upward_sweep|pre_decision_sweep_inferred|round_band_gt_20p|wick_body_m5_wick_dominant,sample_040
