sample_id,source_artifact,input_file,decision_time,direction,direction_source,direction_confidence,entry_reference_price_source,data_availability_status,h3_state,h3_reference_price,h3_invalidation_extreme,h3_invalidation_source,h3_distance,h3_normalizer_value,h3_normalizer_source,h3_normalized_distance,h3_threshold_version,h3_formula_version,h3_pre_entry_only,h3_post_entry_data_used,h4_state,h4_zone_source,h4_zone_high,h4_zone_low,h4_retest_or_reclaim_timestamp,h4_pre_entry_only,h4_post_entry_data_used,pre_entry_only,post_entry_data_used,leakage_check_passed,leakage_check_notes,ohlc_read,matched_control_run,phase_4_unlocked,runtime_logic_changed
sample_001,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-19T17:15:00+00:00,LONG,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4496.34,4496.23,PRE_DECISION_SWEEP_LOW,0.11,40.25,M1_30_CLOSED_PRE_DECISION,0.002733,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4503.69,4495.59,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_002,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-19T15:15:00+00:00,LONG,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4541.74,4541.68,PRE_DECISION_SWING_LOW,0.06,19.28,M1_30_CLOSED_PRE_DECISION,0.003112,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4544.28,4541.02,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_003,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-19T19:30:00+00:00,SHORT,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4508.18,4509.35,PRE_DECISION_SWEEP_HIGH,1.17,15.88,M1_30_CLOSED_PRE_DECISION,0.073678,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4516.34,4505.06,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_004,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-19T10:45:00+00:00,SHORT,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,MEDIUM,4542.74,4544.99,PRE_DECISION_SWING_HIGH,2.25,8.68,M1_30_CLOSED_PRE_DECISION,0.259217,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4543.53,4542.56,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_005,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-19T08:15:00+00:00,LONG,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4545.11,4543.53,PRE_DECISION_SWING_LOW,1.58,6.85,M1_30_CLOSED_PRE_DECISION,0.230657,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,RETEST_FAILED_PRE_DECISION,FVG_IFVG_METADATA_ZONE,4546.23,4545.33,2026-05-19T08:13:00+00:00,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_006,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-19T13:45:00+00:00,LONG,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,MEDIUM,4531.33,4526.0,PRE_DECISION_SWEEP_LOW,5.33,17.43,M1_30_CLOSED_PRE_DECISION,0.305795,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,RETEST_FAILED_PRE_DECISION,FVG_IFVG_METADATA_ZONE,4540.43,4540.17,2026-05-19T13:41:00+00:00,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_007,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-18T07:15:00+00:00,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4546.18,4547.07,PRE_DECISION_SWING_HIGH,0.89,10.46,M1_30_CLOSED_PRE_DECISION,0.085086,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,RETEST_FAILED_PRE_DECISION,FVG_IFVG_METADATA_ZONE,4539.57,4537.56,2026-05-18T06:53:00+00:00,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_008,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-03-27T01:15:00+00:00,LONG,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4392.78,4391.99,PRE_DECISION_SWING_LOW,0.79,24.2,M1_30_CLOSED_PRE_DECISION,0.032645,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4397.61,4380.96,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_009,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-19T12:00:00+00:00,LONG,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4541.54,4540.3,PRE_DECISION_SWEEP_LOW,1.24,11.71,M1_30_CLOSED_PRE_DECISION,0.105892,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4544.28,4541.02,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_010,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-19T05:30:00+00:00,LONG,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4555.75,4555.59,PRE_DECISION_SWEEP_LOW,0.16,12.32,M1_30_CLOSED_PRE_DECISION,0.012987,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,RECLAIM_CONFIRMED,FVG_IFVG_METADATA_ZONE,4557.45,4557.37,2026-05-19T05:25:00+00:00,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_011,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-19T18:30:00+00:00,SHORT,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4501.83,4502.19,PRE_DECISION_SWING_HIGH,0.36,15.25,M1_30_CLOSED_PRE_DECISION,0.023607,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4503.69,4495.59,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_012,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-19T03:00:00+00:00,SHORT,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4587.28,4588.03,PRE_DECISION_SWEEP_HIGH,0.75,8.81,M1_30_CLOSED_PRE_DECISION,0.085131,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,RECLAIM_CONFIRMED,FVG_IFVG_METADATA_ZONE,4584.11,4583.51,2026-05-19T02:50:00+00:00,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_013,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-19T07:15:00+00:00,LONG,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4540.43,4538.72,PRE_DECISION_SWEEP_LOW,1.71,10.71,M1_30_CLOSED_PRE_DECISION,0.159664,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,RETEST_FAILED_PRE_DECISION,FVG_IFVG_METADATA_ZONE,4546.23,4545.33,2026-05-19T07:06:00+00:00,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_014,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-15T13:45:00+00:00,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,MEDIUM,4558.54,4562.03,PRE_DECISION_SWEEP_HIGH,3.49,13.59,M1_30_CLOSED_PRE_DECISION,0.256806,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,RECLAIM_CONFIRMED,FVG_IFVG_METADATA_ZONE,4558.15,4557.89,2026-05-15T13:24:00+00:00,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_015,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-15T07:15:00+00:00,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4618.5,4618.88,PRE_DECISION_SWEEP_HIGH,0.38,11.0,M1_30_CLOSED_PRE_DECISION,0.034545,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4618.89,4615.4,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_016,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-03-26T01:15:00+00:00,LONG,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4508.69,4508.17,PRE_DECISION_SWING_LOW,0.52,35.52,M1_30_CLOSED_PRE_DECISION,0.01464,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4519.12,4506.42,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_017,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-18T19:45:00+00:00,LONG,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4544.66,4544.48,PRE_DECISION_SWEEP_LOW,0.18,16.76,M1_30_CLOSED_PRE_DECISION,0.01074,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4546.68,4544.55,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_018,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-18T22:15:00+00:00,LONG,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4553.14,4552.24,PRE_DECISION_SWING_LOW,0.9,30.96,M1_30_CLOSED_PRE_DECISION,0.02907,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4557.82,4550.92,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_019,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-18T18:30:00+00:00,SHORT,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,MEDIUM,4534.24,4538.75,PRE_DECISION_SWING_HIGH,4.51,16.08,M1_30_CLOSED_PRE_DECISION,0.280473,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,RECLAIM_CONFIRMED,FVG_IFVG_METADATA_ZONE,4541.84,4537.8,2026-05-18T18:29:00+00:00,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
