row_type,sample_id,symbol,anchor_timestamp,source_mode,session,direction_guess,direction_confidence,direction_source_timeframe,sweep_type,swept_level,sweep_extreme,sweep_timestamp,direction_reason_codes,entry_hypothesis_type,entry_price,entry_level_source,entry_level_confidence,entry_level_reason_codes,entry_is_heuristic,entry_level_is_heuristic,entry_direction_conflict,pip_size,sl_20_price,sl_40_price,sl_20_hit,sl_40_hit,time_to_sl_20_minutes,time_to_sl_40_minutes,reaction_5m_pips,reaction_15m_pips,reaction_30m_pips,reaction_60m_pips,reaction_240m_pips,time_to_50_pips_minutes,time_to_100_pips_minutes,time_to_250_pips_minutes,time_to_500_pips_minutes,time_to_1000_pips_minutes,fast_reaction_100pips_15m,slow_reaction_100pips_30m_plus,immediate_reaction_good,max_favorable_pips,max_adverse_pips,time_to_max_favorable_minutes,time_to_max_adverse_minutes,hit_50_pips,hit_100_pips,hit_250_pips,hit_500_pips,hit_1000_pips,be_possible_after_100_pips,returned_to_entry_after_100_pips,be_would_protect_after_100_pips,accumulation_after_entry,dirty_chop_after_entry,entry_cross_count_first_60m,m5_followthrough_quality,automatic_outcome_label,secondary_outcome_flags,reason_codes,limitations,visual_html_path
CANDIDATE,sample_024,XAUUSD,2026-03-25T00:45:00+00:00,CANDIDATE_WINDOW_MODE,ASIA_OPEN,SHORT,MEDIUM,M5,UPWARD_SWEEP,4484.53,4485.08,2026-03-25T00:20:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4470.0,ROUND_LEVEL,MEDIUM,ANCHOR_PRICE_NEAR_ROUND_LEVEL,True,True,False,0.1,4472.0,4474.0,True,True,1.0,1.0,-40.7,-99.1,-150.1,-649.4,-1298.6,,,,,,False,False,False,29.7,1310.4,0.0,189.0,False,False,False,False,False,False,False,False,False,False,0,POOR,FAST_SL_20,,ANCHOR_PRICE_NEAR_ROUND_LEVEL|SL20_BEFORE_50P,,examples/sample_024.html
CANDIDATE,sample_025,XAUUSD,2026-05-18T15:30:00+00:00,CANDIDATE_WINDOW_MODE,NEW_YORK,LONG,HIGH,M5,DOWNWARD_SWEEP,4547.18,4545.3,2026-05-18T15:20:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4570.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,True,False,0.1,4568.0,4566.0,True,True,0.0,0.0,-96.9,22.4,56.7,16.4,-334.3,30.0,82.0,,,,False,True,False,142.7,381.2,85.0,154.0,True,True,False,False,False,True,True,True,False,True,7,CHOP,FAST_SL_20,DIRTY_CHOP_AFTER_ENTRY|RETURNED_TO_ENTRY_AFTER_100_PIPS,EXPLICIT_ROUND_LEVEL_METADATA|SL20_BEFORE_50P|SLOW_100P_REACTION,,examples/sample_025.html
CANDIDATE,sample_026,XAUUSD,2026-05-18T21:15:00+00:00,CANDIDATE_WINDOW_MODE,OTHER,LONG,HIGH,M5,DOWNWARD_SWEEP,4545.57,4543.74,2026-05-18T21:00:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4543.74,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,True,True,False,0.1,4541.74,4539.74,True,True,2.0,10.0,-28.6,-14.7,-27.7,94.0,291.1,46.0,46.0,225.0,,,False,True,False,307.6,96.6,240.0,44.0,True,True,True,False,False,True,True,True,False,False,2,GOOD,FAST_SL_20,RETURNED_TO_ENTRY_AFTER_100_PIPS,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP|SL20_BEFORE_50P|SLOW_100P_REACTION,,examples/sample_026.html
CANDIDATE,sample_027,XAUUSD,2026-05-18T11:30:00+00:00,CANDIDATE_WINDOW_MODE,NEW_YORK,SHORT,MEDIUM,M5,UPWARD_SWEEP,4551.5,4553.12,2026-05-18T11:30:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4553.12,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_UPWARD_SWEEP,True,True,False,0.1,4555.12,4557.12,True,True,20.0,190.0,27.9,27.1,17.8,115.9,3.2,0.0,33.0,,,,False,True,True,232.7,140.8,160.0,191.0,True,True,False,False,False,True,True,True,False,False,2,GOOD,GOOD_SLOW_REACTION,RETURNED_TO_ENTRY_AFTER_100_PIPS,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_UPWARD_SWEEP|SLOW_100P_REACTION,,examples/sample_027.html
CANDIDATE,sample_028,XAUUSD,2026-05-18T16:45:00+00:00,CANDIDATE_WINDOW_MODE,OTHER,LONG,MEDIUM,M5,DOWNWARD_SWEEP,4563.95,4563.73,2026-05-18T16:45:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,UNKNOWN,UNKNOWN,EXPLICIT_SWEPT_LIQUIDITY_LEVEL_METADATA|ENTRY_DIRECTION_CONFLICT,True,True,True,0.1,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL|EXPLICIT_SWEPT_LIQUIDITY_LEVEL_METADATA|ENTRY_DIRECTION_CONFLICT,ENTRY_DIRECTION_CONFLICT,examples/sample_028.html
CANDIDATE,sample_029,XAUUSD,2026-05-18T01:00:00+00:00,CANDIDATE_WINDOW_MODE,ASIA,UNKNOWN_DIRECTION,UNKNOWN,,,,,,NO_CLEAR_M5_OR_M1_SWEEP,UNKNOWN_ENTRY_LEVEL,,UNKNOWN,UNKNOWN,DIRECTION_REQUIRED_FOR_SWEEP_ENTRY,True,True,False,0.1,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL|DIRECTION_REQUIRED_FOR_SWEEP_ENTRY,DIRECTION_REQUIRED_FOR_SWEEP_ENTRY,examples/sample_029.html
CANDIDATE,sample_030,XAUUSD,2026-05-13T13:30:00+00:00,CANDIDATE_WINDOW_MODE,NEW_YORK_OPEN,SHORT,MEDIUM,M1,UPWARD_SWEEP,4701.51,4701.7,2026-05-13T13:07:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4701.7,SWEEP_EXTREME,LOW,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M1_UPWARD_SWEEP,True,True,False,0.1,4703.7,4705.7,True,False,65.0,,51.8,69.8,74.5,15.1,178.6,3.0,33.0,120.0,,,False,True,True,322.5,37.3,199.0,75.0,True,True,True,False,False,True,True,True,False,False,0,GOOD,GOOD_SLOW_REACTION,RETURNED_TO_ENTRY_AFTER_100_PIPS,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M1_UPWARD_SWEEP|SLOW_100P_REACTION,,examples/sample_030.html
CANDIDATE,sample_031,XAUUSD,2026-05-11T07:15:00+00:00,CANDIDATE_WINDOW_MODE,LONDON_OPEN,LONG,HIGH,M5,DOWNWARD_SWEEP,4677.02,4673.47,2026-05-11T07:00:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4673.47,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,True,True,False,0.1,4671.47,4669.47,True,True,5.0,15.0,4.8,-39.3,-1.9,-2.6,-3.2,0.0,,,,,False,False,True,72.8,253.3,80.0,101.0,True,False,False,False,False,False,False,False,False,True,13,CHOP,GOOD_REACTION_BUT_DIRTY_ACCUMULATION,DIRTY_CHOP_AFTER_ENTRY,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,,examples/sample_031.html
CANDIDATE,sample_032,XAUUSD,2026-03-24T01:15:00+00:00,CANDIDATE_WINDOW_MODE,ASIA_OPEN,SHORT,HIGH,M5,UPWARD_SWEEP,4437.6,4444.65,2026-03-24T01:15:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4444.65,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_UPWARD_SWEEP,True,True,False,0.1,4446.65,4448.65,True,False,12.0,,75.0,40.6,204.8,260.4,849.1,0.0,5.0,60.0,72.0,84.0,True,False,True,1387.6,37.1,177.0,12.0,True,True,True,True,True,True,True,True,False,False,2,GOOD,GOOD_FAST_REACTION,RETURNED_TO_ENTRY_AFTER_100_PIPS,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_UPWARD_SWEEP|FAST_100P_REACTION,,examples/sample_032.html
CANDIDATE,sample_033,XAUUSD,2026-05-18T14:00:00+00:00,CANDIDATE_WINDOW_MODE,NEW_YORK,SHORT,HIGH,M5,UPWARD_SWEEP,4544.1,4547.8,2026-05-18T13:45:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4540.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,True,False,0.1,4542.0,4544.0,True,True,33.0,33.0,10.3,10.7,19.6,-116.0,-77.9,9.0,10.0,,,,True,False,True,101.5,442.7,10.0,175.0,True,True,False,False,False,True,True,True,False,True,3,GOOD,GOOD_FAST_REACTION,DIRTY_CHOP_AFTER_ENTRY|RETURNED_TO_ENTRY_AFTER_100_PIPS,EXPLICIT_ROUND_LEVEL_METADATA|FAST_100P_REACTION,,examples/sample_033.html
CANDIDATE,sample_034,XAUUSD,2026-05-18T02:30:00+00:00,CANDIDATE_WINDOW_MODE,ASIA,LONG,HIGH,M5,DOWNWARD_SWEEP,4537.85,4534.73,2026-05-18T02:30:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4534.73,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,True,True,False,0.1,4532.73,4530.73,True,True,10.0,32.0,28.3,-7.8,-8.3,-193.4,-34.7,5.0,,,,,False,False,True,94.0,544.3,23.0,75.0,True,False,False,False,False,False,False,False,False,True,7,MODERATE,GOOD_REACTION_BUT_DIRTY_ACCUMULATION,DIRTY_CHOP_AFTER_ENTRY,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,,examples/sample_034.html
CANDIDATE,sample_035,XAUUSD,2026-05-18T09:15:00+00:00,CANDIDATE_WINDOW_MODE,LONDON,LONG,MEDIUM,M5,DOWNWARD_SWEEP,4529.91,4529.68,2026-05-18T09:00:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4529.68,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,True,True,False,0.1,4527.68,4525.68,False,False,,,72.3,56.2,99.7,132.3,115.1,0.0,1.0,75.0,,,True,False,True,302.4,0.0,75.0,,True,True,True,False,False,True,False,False,False,False,0,GOOD,GOOD_FAST_REACTION,,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP|FAST_100P_REACTION,,examples/sample_035.html
CANDIDATE,sample_036,XAUUSD,2026-05-18T10:30:00+00:00,CANDIDATE_WINDOW_MODE,LONDON,LONG,LOW,M5,DOWNWARD_SWEEP,4542.03,4541.74,2026-05-18T10:15:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4552.07,SWEPT_LIQUIDITY_LEVEL,MEDIUM,EXPLICIT_SWEPT_LIQUIDITY_LEVEL_METADATA,True,True,False,0.1,4550.07,4548.07,True,True,12.0,13.0,18.2,-8.4,-38.3,-52.7,-140.3,0.0,,,,,False,False,True,78.5,222.2,0.0,220.0,True,False,False,False,False,False,False,False,False,True,3,MODERATE,GOOD_REACTION_BUT_DIRTY_ACCUMULATION,DIRTY_CHOP_AFTER_ENTRY,EXPLICIT_SWEPT_LIQUIDITY_LEVEL_METADATA,,examples/sample_036.html
CANDIDATE,sample_037,XAUUSD,2026-05-15T16:45:00+00:00,CANDIDATE_WINDOW_MODE,OTHER,LONG,HIGH,M5,DOWNWARD_SWEEP,4519.91,4511.76,2026-05-15T16:45:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,UNKNOWN,UNKNOWN,EXPLICIT_SWEPT_LIQUIDITY_LEVEL_METADATA|ENTRY_DIRECTION_CONFLICT,True,True,True,0.1,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL|EXPLICIT_SWEPT_LIQUIDITY_LEVEL_METADATA|ENTRY_DIRECTION_CONFLICT,ENTRY_DIRECTION_CONFLICT,examples/sample_037.html
CANDIDATE,sample_038,XAUUSD,2026-05-11T13:45:00+00:00,CANDIDATE_WINDOW_MODE,NEW_YORK_OPEN,LONG,MEDIUM,M5,DOWNWARD_SWEEP,4660.42,4660.26,2026-05-11T13:35:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4660.26,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,True,True,False,0.1,4658.26,4656.26,False,False,,,50.6,51.2,82.7,144.7,729.1,5.0,18.0,97.0,140.0,,False,False,True,883.6,0.0,181.0,,True,True,True,True,False,True,False,False,False,False,0,GOOD,RUNNER_CANDIDATE,,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_DOWNWARD_SWEEP,,examples/sample_038.html
CANDIDATE,sample_039,XAUUSD,2026-05-08T07:00:00+00:00,CANDIDATE_WINDOW_MODE,LONDON_OPEN,SHORT,MEDIUM,M5,UPWARD_SWEEP,4730.66,4731.1,2026-05-08T06:35:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4731.1,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_UPWARD_SWEEP,True,True,False,0.1,4733.1,4735.1,True,False,148.0,,133.3,172.8,140.4,186.5,225.5,0.0,0.0,203.0,,,True,False,True,336.8,36.1,205.0,149.0,True,True,True,False,False,True,True,True,False,False,0,GOOD,GOOD_FAST_REACTION,RETURNED_TO_ENTRY_AFTER_100_PIPS,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_UPWARD_SWEEP|FAST_100P_REACTION,,examples/sample_039.html
CANDIDATE,sample_040,XAUUSD,2026-03-23T00:45:00+00:00,CANDIDATE_WINDOW_MODE,ASIA_OPEN,SHORT,HIGH,M5,UPWARD_SWEEP,4531.79,4536.29,2026-03-23T00:25:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4536.29,SWEEP_EXTREME,MEDIUM,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_UPWARD_SWEEP,True,True,False,0.1,4538.29,4540.29,False,False,,,276.1,375.6,405.0,438.5,1616.2,0.0,0.0,0.0,27.0,78.0,True,False,True,2163.2,0.0,127.0,,True,True,True,True,True,True,False,False,False,False,0,GOOD,GOOD_FAST_REACTION,,DIRECTION_INFERRED_SWEEP_EXTREME_HEURISTIC|M5_UPWARD_SWEEP|FAST_100P_REACTION,,examples/sample_040.html
CONTROL,control_001,XAUUSD,2026-04-16T21:45:00+00:00,MATCHED_RANDOM_CONTROL,OTHER,LONG,MEDIUM,M5,DOWNWARD_SWEEP,4786.75,4786.69,2026-04-16T21:30:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4790.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,True,False,0.1,4788.0,4786.0,False,False,,,2.3,28.6,20.3,83.3,46.9,17.0,,,,,False,False,False,86.3,17.6,60.0,14.0,True,False,False,False,False,False,False,False,False,True,4,MODERATE,GOOD_REACTION_BUT_DIRTY_ACCUMULATION,DIRTY_CHOP_AFTER_ENTRY,EXPLICIT_ROUND_LEVEL_METADATA,,
CONTROL,control_002,XAUUSD,2026-03-31T18:15:00+00:00,MATCHED_RANDOM_CONTROL,OTHER,SHORT,HIGH,M5,UPWARD_SWEEP,4623.99,4625.46,2026-03-31T18:15:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4610.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,True,False,0.1,4612.0,4614.0,True,True,0.0,0.0,-50.9,17.9,-102.8,-44.1,-645.4,,,,,,False,False,False,30.5,661.5,56.0,227.0,False,False,False,False,False,False,False,False,False,True,10,POOR,FAST_SL_20,DIRTY_CHOP_AFTER_ENTRY,EXPLICIT_ROUND_LEVEL_METADATA|SL20_BEFORE_50P,,
CONTROL,control_003,XAUUSD,2026-04-10T20:45:00+00:00,MATCHED_RANDOM_CONTROL,OTHER,LONG,MEDIUM,M5,DOWNWARD_SWEEP,4759.02,4758.26,2026-04-10T20:35:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4760.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,True,False,0.1,4758.0,4756.0,True,True,17.0,18.0,46.6,-1.1,35.9,67.3,-2.6,5.0,47.0,,,,False,True,True,131.6,90.0,53.0,20.0,True,True,False,False,False,True,True,True,False,True,6,GOOD,GOOD_SLOW_REACTION,DIRTY_CHOP_AFTER_ENTRY|RETURNED_TO_ENTRY_AFTER_100_PIPS,EXPLICIT_ROUND_LEVEL_METADATA|SLOW_100P_REACTION,,
CONTROL,control_004,XAUUSD,2026-04-08T17:00:00+00:00,MATCHED_RANDOM_CONTROL,OTHER,LONG,HIGH,M5,DOWNWARD_SWEEP,4771.41,4767.6,2026-04-08T16:55:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4780.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,True,False,0.1,4778.0,4776.0,True,True,0.0,19.0,69.5,43.0,-168.1,-361.1,-449.8,0.0,3.0,,,,True,False,True,119.5,518.0,7.0,240.0,True,True,False,False,False,True,True,True,False,False,1,GOOD,FAST_SL_20,RETURNED_TO_ENTRY_AFTER_100_PIPS,EXPLICIT_ROUND_LEVEL_METADATA|SL20_BEFORE_50P|FAST_100P_REACTION,,
CONTROL,control_005,XAUUSD,2026-05-14T16:45:00+00:00,MATCHED_RANDOM_CONTROL,OTHER,LONG,HIGH,M5,DOWNWARD_SWEEP,4681.72,4680.44,2026-05-14T16:35:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4680.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,True,False,0.1,4678.0,4676.0,True,True,0.0,0.0,74.4,35.2,93.1,75.9,3.0,2.0,4.0,,,,True,False,True,210.0,96.8,37.0,171.0,True,True,False,False,False,True,True,True,False,False,2,GOOD,FAST_SL_20,RETURNED_TO_ENTRY_AFTER_100_PIPS,EXPLICIT_ROUND_LEVEL_METADATA|SL20_BEFORE_50P|FAST_100P_REACTION,,
CONTROL,control_006,XAUUSD,2026-05-04T21:00:00+00:00,MATCHED_RANDOM_CONTROL,OTHER,LONG,MEDIUM,M5,DOWNWARD_SWEEP,4521.59,4521.13,2026-05-04T21:00:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4520.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,True,False,0.1,4518.0,4516.0,True,True,19.0,23.0,37.8,-10.7,-82.5,-45.6,29.2,3.0,,,,,False,False,True,71.5,101.5,98.0,27.0,True,False,False,False,False,False,False,False,False,True,3,MODERATE,GOOD_REACTION_BUT_DIRTY_ACCUMULATION,DIRTY_CHOP_AFTER_ENTRY,EXPLICIT_ROUND_LEVEL_METADATA,,
CONTROL,control_007,XAUUSD,2026-04-27T20:15:00+00:00,MATCHED_RANDOM_CONTROL,OTHER,LONG,MEDIUM,M5,DOWNWARD_SWEEP,4671.66,4668.19,2026-04-27T20:15:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4680.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,True,False,0.1,4678.0,4676.0,True,True,0.0,0.0,-94.0,2.6,34.3,12.2,8.6,18.0,,,,,False,False,False,61.6,118.1,20.0,3.0,True,False,False,False,False,False,False,False,False,True,3,MODERATE,FAST_SL_20,DIRTY_CHOP_AFTER_ENTRY,EXPLICIT_ROUND_LEVEL_METADATA|SL20_BEFORE_50P,,
CONTROL,control_008,XAUUSD,2026-04-06T19:00:00+00:00,MATCHED_RANDOM_CONTROL,OTHER,LONG,HIGH,M1,DOWNWARD_SWEEP,4653.55,4651.84,2026-04-06T18:39:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4670.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,True,False,0.1,4668.0,4666.0,True,True,2.0,3.0,-33.9,0.9,-38.9,-120.9,-145.9,,,,,,False,False,False,26.5,245.3,17.0,197.0,False,False,False,False,False,False,False,False,False,False,2,POOR,FAST_SL_20,,EXPLICIT_ROUND_LEVEL_METADATA|SL20_BEFORE_50P,,
CONTROL,control_009,XAUUSD,2026-05-12T11:30:00+00:00,MATCHED_RANDOM_CONTROL,NEW_YORK,LONG,HIGH,M5,DOWNWARD_SWEEP,4699.22,4697.11,2026-05-12T11:15:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4700.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,True,False,0.1,4698.0,4696.0,True,True,44.0,74.0,5.6,60.5,22.6,33.2,-65.0,15.0,,,,,False,False,True,92.1,148.3,207.0,130.0,True,False,False,False,False,False,False,False,False,True,12,CHOP,GOOD_REACTION_BUT_DIRTY_ACCUMULATION,DIRTY_CHOP_AFTER_ENTRY,EXPLICIT_ROUND_LEVEL_METADATA,,
CONTROL,control_010,XAUUSD,2026-03-27T13:45:00+00:00,MATCHED_RANDOM_CONTROL,NEW_YORK,SHORT,HIGH,M5,UPWARD_SWEEP,4417.22,4419.54,2026-03-27T13:35:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4420.0,ROUND_LEVEL,HIGH,EXPLICIT_ROUND_LEVEL_METADATA,True,True,False,0.1,4422.0,4424.0,True,True,0.0,0.0,-4.1,-35.5,-72.0,-166.1,-1118.8,22.0,,,,,False,False,False,73.8,1352.6,23.0,218.0,True,False,False,False,False,False,False,False,False,True,12,MODERATE,FAST_SL_20,DIRTY_CHOP_AFTER_ENTRY,EXPLICIT_ROUND_LEVEL_METADATA|SL20_BEFORE_50P,,
