sample_id,priority_score,priority_reasons,final_diagnostic_outcome,failure_mode_tags,win_mode_tags,chart_path,html_path
sample_001,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,charts/sample_001.svg,examples/sample_001.html
sample_002,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_002.svg,examples/sample_002.html
sample_003,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|PRICE_CHOP_AFTER_ENTRY|STOP_TOO_WIDE|VOLUME_NOT_CONFIRMING_REVERSAL,,charts/sample_003.svg,examples/sample_003.html
sample_004,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,charts/sample_004.svg,examples/sample_004.html
sample_007,5,EXTREME_OUTCOME|GOOD_OUTCOME_WITH_FEW_PRE_FEATURES,GOOD_FAST_REACTION,,CLEAN_TARGET_SPACE|FAST_REACTION,charts/sample_007.svg,examples/sample_007.html
sample_008,5,EXTREME_OUTCOME|AMBIGUOUS_REACTION,MIXED_REACTION,,CLEAN_SWEEP_REJECTION|CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,charts/sample_008.svg,examples/sample_008.html
sample_009,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY,CLEAN_SWEEP_REJECTION|CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_009.svg,examples/sample_009.html
sample_011,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_011.svg,examples/sample_011.html
sample_012,5,EXTREME_OUTCOME|GOOD_OUTCOME_WITH_FEW_PRE_FEATURES,GOOD_FAST_REACTION,,CLEAN_TARGET_SPACE|FAST_REACTION|STRONG_MFE_LOW_MAE,charts/sample_012.svg,examples/sample_012.html
sample_014,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_014.svg,examples/sample_014.html
sample_016,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_016.svg,examples/sample_016.html
sample_017,5,EXTREME_OUTCOME|AMBIGUOUS_REACTION,MIXED_REACTION,,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,charts/sample_017.svg,examples/sample_017.html
sample_023,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|PRICE_CHOP_AFTER_ENTRY|STOP_TOO_WIDE|VOLUME_NOT_CONFIRMING_REVERSAL,,charts/sample_023.svg,examples/sample_023.html
sample_025,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,charts/sample_025.svg,examples/sample_025.html
sample_026,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,charts/sample_026.svg,examples/sample_026.html
sample_028,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_028.svg,examples/sample_028.html
sample_029,5,EXTREME_OUTCOME|GOOD_OUTCOME_WITH_FEW_PRE_FEATURES,GOOD_FAST_REACTION,,CLEAN_TARGET_SPACE|FAST_REACTION,charts/sample_029.svg,examples/sample_029.html
sample_030,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,CHOP_AFTER_ENTRY,PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_030.svg,examples/sample_030.html
sample_031,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|STOP_TOO_WIDE|VOLUME_NOT_CONFIRMING_REVERSAL,,charts/sample_031.svg,examples/sample_031.html
sample_032,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_032.svg,examples/sample_032.html
sample_033,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_033.svg,examples/sample_033.html
sample_035,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|PRICE_CHOP_AFTER_ENTRY|STOP_TOO_WIDE|VOLUME_NOT_CONFIRMING_REVERSAL,,charts/sample_035.svg,examples/sample_035.html
sample_037,5,EXTREME_OUTCOME|GOOD_OUTCOME_WITH_FEW_PRE_FEATURES,GOOD_FAST_REACTION,,CLEAN_TARGET_SPACE|FAST_REACTION|STRONG_MFE_LOW_MAE,charts/sample_037.svg,examples/sample_037.html
sample_038,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|STOP_TOO_WIDE|VOLUME_NOT_CONFIRMING_REVERSAL,,charts/sample_038.svg,examples/sample_038.html
sample_039,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,REACTION_TOO_LATE,CLEAN_SWEEP_REJECTION|CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_039.svg,examples/sample_039.html
sample_005,3,EXTREME_OUTCOME,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,charts/sample_005.svg,examples/sample_005.html
sample_006,3,EXTREME_OUTCOME,GOOD_FAST_REACTION,,CLEAN_TARGET_SPACE|FAST_REACTION|ROUND_LEVEL_REACTION,charts/sample_006.svg,examples/sample_006.html
sample_010,3,EXTREME_OUTCOME,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|PRICE_CHOP_AFTER_ENTRY|STOP_TOO_WIDE|VOLUME_NOT_CONFIRMING_REVERSAL,,charts/sample_010.svg,examples/sample_010.html
sample_013,3,EXTREME_OUTCOME,FAST_FAILURE,PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_SWEEP_REJECTION|CLEAN_TARGET_SPACE|ROUND_LEVEL_REACTION,charts/sample_013.svg,examples/sample_013.html
sample_015,3,EXTREME_OUTCOME,GOOD_FAST_REACTION,,CLEAN_TARGET_SPACE|FAST_REACTION|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION|STRONG_MFE_LOW_MAE,charts/sample_015.svg,examples/sample_015.html
sample_018,3,EXTREME_OUTCOME,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,charts/sample_018.svg,examples/sample_018.html
sample_019,3,EXTREME_OUTCOME,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|STOP_TOO_WIDE|TARGET_TOO_FAR|VOLUME_NOT_CONFIRMING_REVERSAL,,charts/sample_019.svg,examples/sample_019.html
sample_020,3,EXTREME_OUTCOME,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_SWEEP_REJECTION|CLEAN_TARGET_SPACE,charts/sample_020.svg,examples/sample_020.html
sample_021,3,EXTREME_OUTCOME,GOOD_FAST_REACTION,,CLEAN_TARGET_SPACE|FAST_REACTION|STRONG_MFE_LOW_MAE,charts/sample_021.svg,examples/sample_021.html
sample_022,3,EXTREME_OUTCOME,FAST_FAILURE,PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,charts/sample_022.svg,examples/sample_022.html
sample_024,3,EXTREME_OUTCOME,GOOD_FAST_REACTION,,CLEAN_SWEEP_REJECTION|CLEAN_TARGET_SPACE|FAST_REACTION|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION|STRONG_MFE_LOW_MAE,charts/sample_024.svg,examples/sample_024.html
sample_027,3,EXTREME_OUTCOME,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,charts/sample_027.svg,examples/sample_027.html
sample_034,3,EXTREME_OUTCOME,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY,CLEAN_SWEEP_REJECTION|CLEAN_TARGET_SPACE,charts/sample_034.svg,examples/sample_034.html
sample_036,3,EXTREME_OUTCOME,GOOD_FAST_REACTION,,CLEAN_TARGET_SPACE|FAST_REACTION|ROUND_LEVEL_REACTION|STRONG_MFE_LOW_MAE,charts/sample_036.svg,examples/sample_036.html
sample_040,3,EXTREME_OUTCOME,GOOD_FAST_REACTION,,CLEAN_TARGET_SPACE|FAST_REACTION|FVG_IFVG_REACTION|STRONG_MFE_LOW_MAE,charts/sample_040.svg,examples/sample_040.html
